Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
몰트바 배럴,"호프,요리주점",null data,null data,4.2,8,,서울 강남구 삼성로104길 10 이호빌딩 2층,9
전통백암순대국 삼성점,국밥,영업중,월~금 05:00 ~ 22:00,4.1,29,,서울 강남구 테헤란로81길 37 1층,6
이화원,중화요리,브레이크타임,매일 12:00 ~ 22:00,3.9,37,,서울 강남구 테헤란로87길 46 호텔오크우드 프리미어 3층,15
수림복국 서울점,복어,영업중,월~금 11:00 ~ 22:00,4.0,11,,서울 강남구 테헤란로77길 11-13 1층,4
차이797 삼성점,중식,브레이크타임,월~금 11:30 ~ 22:00,2.8,14,,서울 강남구 테헤란로87길 35 씨엔드에치빌딩 지하1층,8
소문난집,실내포장마차,휴무일,null data,4.8,32,,서울 강남구 선릉로 664 지하1층,34
모요,일본식주점,null data,null data,3.8,9,,서울 강남구 선릉로122길 12 1층,32
피그인더가든 코엑스점,카페,영업중,매일 10:00 ~ 21:00,2.7,182,,서울 강남구 테헤란로87길 22 도심공항터미널 1층,9
케르반 코엑스몰점,터키음식,영업중,매일 10:00 ~ 22:00,2.6,103,,서울 강남구 영동대로 513 코엑스몰 지하1층 H105,14
언더프레셔 삼성점,커피전문점,영업중,월~금 08:30 ~ 19:00,3.7,74,,서울 강남구 영동대로106길 37 1층,24
치폴라로쏘 삼성점,이탈리안,휴무일,null data,3.5,53,,서울 강남구 영동대로114길 5 지하1층,23
이자카야한잔 삼성본점,일본식주점,영업중,매일 17:00 ~ 03:00,3.9,12,,"서울 강남구 봉은사로84길 34 1,2층",10
르푸도레,"제과,베이커리",영업중,매일 07:30 ~ 22:00,3.7,41,,서울 강남구 테헤란로87길 46 호텔오크우드프리미어 1층 1F1호,15
황소곱창,"곱창,막창",영업중,월~금 17:00 ~ 24:00,4.0,38,,서울 강남구 봉은사로82길 16 1층,13
애니멀고파크,애견카페,null data,null data,4.8,18,,서울 강남구 삼성로120길 36 1층,28
사이드쇼,떡볶이,영업중,매일 11:00 ~ 22:00,2.3,164,,서울 강남구 테헤란로87길 22 한국도심공항터미널 지하1층 Q124호,9
아야진생태찌개 본점,"매운탕,해물탕",영업중,매일 11:00 ~ 22:00,3.3,18,,서울 강남구 삼성로108길 8,12
맑은바닷가,일식집,영업중,월~토 11:00 ~ 22:00,3.0,7,,서울 강남구 선릉로112길 14,23
용호낙지 강남점,"해물,생선",영업중,월~금 10:30 ~ 22:30,1.6,16,,서울 강남구 테헤란로 419 삼성파이낸스빌딩 1층,7
아도르,초콜릿,휴무일,"월,일요일",4.0,27,,서울 강남구 선릉로116길 24,25
최우영식당 삼성점,회,영업중,매일 11:30 ~ 22:00,2.3,29,,서울 강남구 선릉로 620 1층,27
이태리부대찌개 삼성점,"찌개,전골",영업중,매일 11:00 ~ 22:00,4.3,26,,서울 강남구 삼성로104길 16 은지빌딩 2층,10
맥도날드 삼성역,맥도날드,영업중,매일 00:00 ~ 24:00,2.1,9,,서울 강남구 삼성로92길 29 도일빌딩 1층,7
남도구들한정식 본점,한정식,영업중,매일 11:30 ~ 22:00,2.2,21,,서울 강남구 테헤란로 437,1
스템커피 코엑스점,카페,영업중,매일 10:30 ~ 21:00,3.4,106,,서울 강남구 영동대로 513 지하 2층,15
아그라 코엑스점,인도음식,영업중,매일 11:00 ~ 22:00,3.0,218,,서울 강남구 영동대로 513 지하1층 I102호,15
더플레이스 코엑스점,이탈리안,영업중,매일 10:30 ~ 22:00,2.8,35,,서울 강남구 영동대로 513 지하 1층 J102호,15
삼성집,"육류,고기",영업중,월~토 11:00 ~ 22:00,4.6,61,,서울 강남구 테헤란로83길 44 1층,8
원조한방정통삼계탕,삼계탕,영업중,월~토 11:00 ~ 22:00,3.1,22,,서울 강남구 테헤란로81길 35,5
도마다리뼈다귀감자탕,감자탕,영업중,매일 00:00 ~ 24:00,4.6,6,,서울 강남구 봉은사로72길 7 카라빌딩 1층,15
폴바셋 코엑스몰점,커피전문점,영업중,매일 08:00 ~ 22:00,3.8,18,,서울 강남구 영동대로 513 P104호,15
킹크랩대게한상 삼성점,"게,대게",영업중,매일 11:30 ~ 22:20,1.8,9,,서울 강남구 봉은사로 634 20타워 1층,26
김영모과자점 강남구청점,김영모과자점,영업중,매일 08:00 ~ 22:30,4.2,54,,서울 강남구 선릉로126길 6,32
스시산원,"초밥,롤",브레이크타임,매일 12:00 ~ 22:00,3.0,45,,서울 강남구 선릉로100길 42 엘지선릉에클라트 1층 1호,9
닭으로가 삼성코엑스점,닭요리,영업중,매일 11:00 ~ 23:00,3.5,29,,서울 강남구 테헤란로83길 51,9
오발탄 삼성점,오발탄,영업중,매일 11:30 ~ 01:00,4.1,41,,서울 강남구 삼성로 606,17
스타벅스 선릉동신빌딩R점,스타벅스,영업중,월~금 07:00 ~ 21:00,2.8,28,,서울 강남구 테헤란로 409 1층,10
하루,일식,영업중,월~금 11:30 ~ 24:00,3.0,64,,서울 강남구 삼성로 511 지하1층,2
더원,중식,null data,null data,4.3,6,,서울 강남구 영동대로 648 삼안빌딩 2층,32
물조은선주집,회,영업중,월~토 10:30 ~ 22:30,3.0,6,,서울 강남구 봉은사로84길 29,11
